Package,Version
adduser,3.116ubuntu1
aglfn,1.7-3
apt,1.6.17
base-files,10.1ubuntu2.11
base-passwd,3.5.44
bash,4.4.18-2ubuntu1.3
bsdutils,1:2.31.1-0.4ubuntu3.7
bzip2,1.0.6-8.1ubuntu0.2
ca-certificates,20230311ubuntu0.18.04.1
ca-certificates-java,20180516ubuntu1~18.04.2
coreutils,8.28-1ubuntu1
curl,7.58.0-2ubuntu3.24
dash,0.5.8-2.10
debconf,1.5.66ubuntu1
debianutils,4.8.4
default-jre,2:1.11-68ubuntu1~18.04.1
default-jre-headless,2:1.11-68ubuntu1~18.04.1
diffutils,1:3.6-1
dpkg,1.19.0.5ubuntu2.4
e2fsprogs,1.44.1-1ubuntu1.4
fdisk,2.31.1-0.4ubuntu3.7
findutils,4.6.0+git+20170828-2
fontconfig,2.12.6-0ubuntu2
fontconfig-config,2.12.6-0ubuntu2
fonts-dejavu-core,2.37-1
gcc-8-base,8.4.0-1ubuntu1~18.04
ghostscript,9.26~dfsg+0-0ubuntu0.18.04.18
git,1:2.17.1-1ubuntu0.18
git-man,1:2.17.1-1ubuntu0.18
gnuplot-data,5.2.2+dfsg1-2ubuntu1
gnuplot-nox,5.2.2+dfsg1-2ubuntu1
gpgv,2.2.4-1ubuntu1.6
grep,3.1-2build1
gzip,1.6-5ubuntu1.2
hostname,3.20
init-system-helpers,1.51
java-common,0.68ubuntu1~18.04.1
libacl1,2.2.52-3build1
libapt-pkg5.0,1.6.17
libasn1-8-heimdal,7.5.0+dfsg-1ubuntu0.4
libasound2,1.1.3-5ubuntu0.6
libasound2-data,1.1.3-5ubuntu0.6
libattr1,1:2.4.47-2build1
libaudit-common,1:2.8.2-1ubuntu1.1
libaudit1,1:2.8.2-1ubuntu1.1
libavahi-client3,0.7-3.1ubuntu1.3
libavahi-common-data,0.7-3.1ubuntu1.3
libavahi-common3,0.7-3.1ubuntu1.3
libb-hooks-op-check-perl,0.22-1
libblkid1,2.31.1-0.4ubuntu3.7
libbsd0,0.8.7-1ubuntu0.1
libbz2-1.0,1.0.6-8.1ubuntu0.2
libc-bin,2.27-3ubuntu1.6
libc6,2.27-3ubuntu1.6
libcairo2,1.15.10-2ubuntu0.1
libcap-ng0,0.7.7-3.1
libcom-err2,1.44.1-1ubuntu1.4
libcups2,2.2.7-1ubuntu2.10
libcupsimage2,2.2.7-1ubuntu2.10
libcurl3-gnutls,7.58.0-2ubuntu3.24
libcurl4,7.58.0-2ubuntu3.24
libdata-optlist-perl,0.110-1
libdatrie1,0.2.10-7
libdb5.3,5.3.28-13.1ubuntu1.1
libdbus-1-3,1.12.2-1ubuntu1.4
libdebconfclient0,0.213ubuntu1
libdevel-callchecker-perl,0.007-2build1
libdigest-perl-md5-perl,1.9-1
libdrm-amdgpu1,2.4.101-2~18.04.1
libdrm-common,2.4.101-2~18.04.1
libdrm-intel1,2.4.101-2~18.04.1
libdrm-nouveau2,2.4.101-2~18.04.1
libdrm-radeon1,2.4.101-2~18.04.1
libdrm2,2.4.101-2~18.04.1
libdynaloader-functions-perl,0.003-1
libedit2,3.1-20170329-1
libelf1,0.170-0.4ubuntu0.1
liberror-perl,0.17025-1
libexpat1,2.2.5-3ubuntu0.9
libext2fs2,1.44.1-1ubuntu1.4
libfdisk1,2.31.1-0.4ubuntu3.7
libffi6,3.2.1-8
libfile-homedir-perl,1.002-1
libfile-which-perl,1.21-1
libfontconfig1,2.12.6-0ubuntu2
libfreetype6,2.8.1-2ubuntu2.2
libgcc1,1:8.4.0-1ubuntu1~18.04
libgcrypt20,1.8.1-4ubuntu1.3
libgd3,2.2.5-4ubuntu0.5
libgdbm-compat4,1.14.1-6
libgdbm5,1.14.1-6
libgetopt-long-descriptive-perl,0.102-1
libgif7,5.1.4-2ubuntu0.1
libgl1,1.0.0-2ubuntu2.3
libgl1-mesa-dri,20.0.8-0ubuntu1~18.04.1
libglapi-mesa,20.0.8-0ubuntu1~18.04.1
libglib2.0-0,2.56.4-0ubuntu0.18.04.9
libglvnd0,1.0.0-2ubuntu2.3
libglx-mesa0,20.0.8-0ubuntu1~18.04.1
libglx0,1.0.0-2ubuntu2.3
libgmp10,2:6.1.2+dfsg-2ubuntu0.1
libgnutls30,3.5.18-1ubuntu1.6
libgpg-error0,1.27-6
libgraphite2-3,1.3.11-2
libgs9,9.26~dfsg+0-0ubuntu0.18.04.18
libgs9-common,9.26~dfsg+0-0ubuntu0.18.04.18
libgssapi-krb5-2,1.16-2ubuntu0.4
libgssapi3-heimdal,7.5.0+dfsg-1ubuntu0.4
libharfbuzz0b,1.7.2-1ubuntu1
libhcrypto4-heimdal,7.5.0+dfsg-1ubuntu0.4
libheimbase1-heimdal,7.5.0+dfsg-1ubuntu0.4
libheimntlm0-heimdal,7.5.0+dfsg-1ubuntu0.4
libhogweed4,3.4.1-0ubuntu0.18.04.1
libhx509-5-heimdal,7.5.0+dfsg-1ubuntu0.4
libice6,2:1.0.9-2ubuntu0.18.04.1
libidn11,1.33-2.1ubuntu1.2
libidn2-0,2.0.4-1.1ubuntu0.2
libijs-0.35,0.35-13
libio-stringy-perl,2.111-2
libjbig0,2.1-3.1ubuntu0.18.04.1
libjbig2dec0,0.13-6
libjpeg-turbo8,1.5.2-0ubuntu5.18.04.6
libjpeg8,8c-2ubuntu8
libk5crypto3,1.16-2ubuntu0.4
libkeyutils1,1.5.9-9.2ubuntu2.1
libkrb5-26-heimdal,7.5.0+dfsg-1ubuntu0.4
libkrb5-3,1.16-2ubuntu0.4
libkrb5support0,1.16-2ubuntu0.4
liblcms2-2,2.9-1ubuntu0.1
libldap-2.4-2,2.4.45+dfsg-1ubuntu1.11
libldap-common,2.4.45+dfsg-1ubuntu1.11
libllvm10,1:10.0.0-4ubuntu1~18.04.2
liblua5.3-0,5.3.3-1ubuntu0.18.04.1
liblz4-1,0.0~r131-2ubuntu3.1
liblzma5,5.2.2-1.3ubuntu0.1
