Package,Version
adduser,3.134
adwaita-icon-theme,43-1
aglfn,1.7+git20191031.4036a9c-2
apt,2.6.1
at-spi2-common,2.46.0-5
base-files,12.4+deb12u1
base-passwd,3.6.1
bash,5.2.15-2+b2
bsdutils,1:2.38.1-5+b1
ca-certificates,20230311
ca-certificates-java,20230620~deb12u1
coreutils,9.1-1
curl,7.88.1-10+deb12u1
dash,0.5.12-2
debconf,1.5.82
debian-archive-keyring,2023.3
debianutils,5.7-0.4
default-jre,2:1.17-74
default-jre-headless,2:1.17-74
diffutils,1:3.8-4
dpkg,1.21.22
e2fsprogs,1.47.0-2
findutils,4.9.0-4
fontconfig,2.14.1-4
fontconfig-config,2.14.1-4
fonts-dejavu-core,2.37-6
fonts-urw-base35,20200910-7
gcc-12-base,12.2.0-14
ghostscript,10.0.0~dfsg-11+deb12u1
git,1:2.39.2-1.1
git-man,1:2.39.2-1.1
gnuplot-data,5.4.4+dfsg1-2
gnuplot-nox,5.4.4+dfsg1-2+b2
gpgv,2.2.40-1.1
grep,3.8-5
gtk-update-icon-cache,3.24.37-2
gzip,1.12-1
hicolor-icon-theme,0.17-2
hostname,3.23+nmu1
init-system-helpers,1.65.2
java-common,0.74
libabsl20220623,20220623.1-1
libacl1,2.3.1-3
libaom3,3.6.0-1
libapt-pkg6.0,2.6.1
libasound2,1.2.8-1+b1
libasound2-data,1.2.8-1
libatk1.0-0,2.46.0-5
libattr1,1:2.5.1-4
libaudit-common,1:3.0.9-1
libaudit1,1:3.0.9-1
libavahi-client3,0.8-10
libavahi-common-data,0.8-10
libavahi-common3,0.8-10
libavif15,0.11.1-1
libb-hooks-op-check-perl,0.22-2+b1
libblkid1,2.38.1-5+b1
libbrotli1,1.0.9-2+b6
libbsd0,0.11.7-2
libbz2-1.0,1.0.8-5+b1
libc-bin,2.36-9+deb12u1
libc6,2.36-9+deb12u1
libcairo2,1.16.0-7
libcap-ng0,0.8.3-1+b3
libcap2,1:2.66-4
libcom-err2,1.47.0-2
libcrypt1,1:4.4.33-2
libcups2,2.4.2-3+deb12u1
libcurl3-gnutls,7.88.1-10+deb12u1
libcurl4,7.88.1-10+deb12u1
libdata-optlist-perl,0.113-1
libdatrie1,0.2.13-2+b1
libdav1d6,1.0.0-2
libdb5.3,5.3.28+dfsg2-1
libdbus-1-3,1.14.8-2~deb12u1
libde265-0,1.0.11-1
libdebconfclient0,0.270
libdeflate0,1.14-1
libdevel-callchecker-perl,0.008-2
libdigest-perl-md5-perl,1.9-5
libdrm-amdgpu1,2.4.114-1+b1
libdrm-common,2.4.114-1
libdrm-nouveau2,2.4.114-1+b1
libdrm-radeon1,2.4.114-1+b1
libdrm2,2.4.114-1+b1
libdynaloader-functions-perl,0.003-3
libedit2,3.1-20221030-2
libelf1,0.188-2.1
liberror-perl,0.17029-2
libexpat1,2.5.0-1
libext2fs2,1.47.0-2
libffi8,3.4.4-1
