Package,Version
adduser,3.118
aglfn,1.7+git20191031.4036a9c-2
apt,2.2.4
base-files,11.1+deb11u7
base-passwd,3.5.51
bash,5.1-2+deb11u1
bsdutils,1:2.36.1-8+deb11u1
ca-certificates,20210119
ca-certificates-java,20190909+deb11u1
coreutils,8.32-4+b1
curl,7.74.0-1.3+deb11u7
dash,0.5.11+git20200708+dd9ef66-5
debconf,1.5.77
debian-archive-keyring,2021.1.1+deb11u1
debianutils,4.11.2
default-jre,2:1.11-72
default-jre-headless,2:1.11-72
diffutils,1:3.7-5
dpkg,1.20.12
e2fsprogs,1.46.2-2
findutils,4.8.0-1
fontconfig,2.13.1-4.2
fontconfig-config,2.13.1-4.2
fonts-urw-base35,20200910-1
gcc-10-base,10.2.1-6
gcc-9-base,9.3.0-22
ghostscript,9.53.3~dfsg-7+deb11u5
git,1:2.30.2-1+deb11u2
git-man,1:2.30.2-1+deb11u2
gnuplot-data,5.4.1+dfsg1-1+deb11u1
gnuplot-nox,5.4.1+dfsg1-1+deb11u1
gpgv,2.2.27-2+deb11u2
grep,3.6-1+deb11u1
gzip,1.10-4+deb11u1
hostname,3.23
init-system-helpers,1.60
java-common,0.72
libacl1,2.2.53-10
libapt-pkg6.0,2.2.4
libasound2,1.2.4-1.1
libasound2-data,1.2.4-1.1
libattr1,1:2.4.48-6
libaudit-common,1:3.0-2
libaudit1,1:3.0-2
libavahi-client3,0.8-5+deb11u2
libavahi-common-data,0.8-5+deb11u2
libavahi-common3,0.8-5+deb11u2
libb-hooks-op-check-perl,0.22-1+b3
libblkid1,2.36.1-8+deb11u1
libbrotli1,1.0.9-2+b2
libbsd0,0.11.3-1
libbz2-1.0,1.0.8-4
libc-bin,2.31-13+deb11u6
libc6,2.31-13+deb11u6
libcairo2,1.16.0-5
libcap-ng0,0.7.9-2.2+b1
libcom-err2,1.46.2-2
libcrypt1,1:4.4.18-4
libcups2,2.3.3op2-3+deb11u2
libcurl3-gnutls,7.74.0-1.3+deb11u7
libcurl4,7.74.0-1.3+deb11u7
libdata-optlist-perl,0.110-1.1
libdatrie1,0.2.13-1
libdb5.3,5.3.28+dfsg1-0.8
libdbus-1-3,1.12.24-0+deb11u1
libdebconfclient0,0.260
libdeflate0,1.7-1
libdevel-callchecker-perl,0.008-1+b2
libdigest-perl-md5-perl,1.9-1.1
libdrm-amdgpu1,2.4.104-1
libdrm-common,2.4.104-1
libdrm-intel1,2.4.104-1
libdrm-nouveau2,2.4.104-1
libdrm-radeon1,2.4.104-1
libdrm2,2.4.104-1
libdynaloader-functions-perl,0.003-1.1
libedit2,3.1-20191231-2+b1
libelf1,0.183-1
liberror-perl,0.17029-1
libexpat1,2.2.10-2+deb11u5
libext2fs2,1.46.2-2
libffi7,3.3-6
libfile-homedir-perl,1.006-1
libfile-which-perl,1.23-1
libfontconfig1,2.13.1-4.2
libfreetype6,2.10.4+dfsg-1+deb11u1
libfribidi0,1.0.8-2+deb11u1
libgcc-s1,10.2.1-6
libgcrypt20,1.8.7-6
libgd3,2.3.0-2
libgdbm-compat4,1.19-2
libgdbm6,1.19-2
libgetopt-long-descriptive-perl,0.105-1
libgif7,5.1.9-2
libgl1,1.3.2-1
libgl1-mesa-dri,20.3.5-1
libglapi-mesa,20.3.5-1
libglib2.0-0,2.66.8-1
libglvnd0,1.3.2-1
libglx-mesa0,20.3.5-1
libglx0,1.3.2-1
libgmp10,2:6.2.1+dfsg-1+deb11u1
libgnutls30,3.7.1-5+deb11u3
libgpg-error0,1.38-2
libgraphite2-3,1.3.14-1
libgs9,9.53.3~dfsg-7+deb11u5
libgs9-common,9.53.3~dfsg-7+deb11u5
libgssapi-krb5-2,1.18.3-6+deb11u3
libharfbuzz0b,2.7.4-1
libhogweed6,3.7.3-1
libice6,2:1.0.10-1
libidn11,1.33-3
libidn2-0,2.3.0-5
libijs-0.35,0.35-15
libio-stringy-perl,2.111-3
libjbig0,2.1-3.1+b2
libjbig2dec0,0.19-2
libjpeg62-turbo,1:2.0.6-4
libk5crypto3,1.18.3-6+deb11u3
libkeyutils1,1.6.1-2
libkrb5-3,1.18.3-6+deb11u3
libkrb5support0,1.18.3-6+deb11u3
liblcms2-2,2.12~rc1-2
libldap-2.4-2,2.4.57+dfsg-3+deb11u1
libllvm11,1:11.0.1-2
liblua5.4-0,5.4.2-2
liblz4-1,1.9.3-2
liblzma5,5.2.5-2.1~deb11u1
libmd0,1.0.3-3
libmime-charset-perl,1.012.2-1
libmodule-implementation-perl,0.09-1.1
libmodule-runtime-perl,0.016-1
libmount1,2.36.1-8+deb11u1
libmpdec3,2.5.1-1
libncurses5,6.2+20201114-2+deb11u1
libncurses6,6.2+20201114-2+deb11u1
libncursesw6,6.2+20201114-2+deb11u1
libnettle8,3.7.3-1
libnghttp2-14,1.43.0-1
libnsl2,1.3.0-2
libnspr4,2:4.29-1
libnss3,2:3.61-1+deb11u3
libopenjp2-7,2.4.0-3
libp11-kit0,0.23.22-1
libpam-modules,1.4.0-9+deb11u1
libpam-modules-bin,1.4.0-9+deb11u1
libpam-runtime,1.4.0-9+deb11u1
libpam0g,1.4.0-9+deb11u1
libpango-1.0-0,1.46.2-3
libpangocairo-1.0-0,1.46.2-3
libpangoft2-1.0-0,1.46.2-3
libpaper1,1.1.28+b1
libparams-classify-perl,0.015-1+b3
libparams-util-perl,1.102-1+b1
libparams-validate-perl,1.30-1+b1
libpciaccess0,0.16-1
libpcre2-8-0,10.36-2+deb11u1
libpcre3,2:8.39-13
libpcsclite1,1.9.1-1
libperl5.32,5.32.1-4+deb11u2
