Package,Version
adduser,3.118
aglfn,1.7-3
apt,1.8.2.3
base-files,10.3+deb10u13
base-passwd,3.5.46
bash,5.0-4
bsdutils,1:2.33.1-0.1
ca-certificates,20200601~deb10u2
ca-certificates-java,20190405
coreutils,8.30-3
curl,7.64.0-4+deb10u6
dash,0.5.10.2-5
debconf,1.5.71+deb10u1
debian-archive-keyring,2019.1+deb10u2
debianutils,4.8.6.1
default-jre,2:1.11-71
default-jre-headless,2:1.11-71
diffutils,1:3.7-3
dpkg,1.19.8
e2fsprogs,1.44.5-1+deb10u3
fdisk,2.33.1-0.1
findutils,4.6.0+git+20190209-2
fontconfig,2.13.1-2
fontconfig-config,2.13.1-2
fonts-dejavu-core,2.37-1
gcc-8-base,8.3.0-6
ghostscript,9.27~dfsg-2+deb10u9
git,1:2.20.1-2+deb10u8
git-man,1:2.20.1-2+deb10u8
gnuplot-data,5.2.6+dfsg1-1+deb10u1
gnuplot-nox,5.2.6+dfsg1-1+deb10u1
gpgv,2.2.12-1+deb10u2
grep,3.3-1
gzip,1.9-3+deb10u1
hostname,3.21
init-system-helpers,1.56+nmu1
java-common,0.71
libacl1,2.2.53-4
libapt-pkg5.0,1.8.2.3
libasound2,1.1.8-1
libasound2-data,1.1.8-1
libattr1,1:2.4.48-4
libaudit-common,1:2.8.4-3
libaudit1,1:2.8.4-3
libavahi-client3,0.7-4+deb10u3
libavahi-common-data,0.7-4+deb10u3
libavahi-common3,0.7-4+deb10u3
libb-hooks-op-check-perl,0.22-1+b1
libblkid1,2.33.1-0.1
libbsd0,0.9.1-2+deb10u1
libbz2-1.0,1.0.6-9.2~deb10u2
libc-bin,2.28-10+deb10u2
libc6,2.28-10+deb10u2
libcairo2,1.16.0-4+deb10u1
libcap-ng0,0.7.9-2
libcom-err2,1.44.5-1+deb10u3
libcups2,2.2.10-6+deb10u9
libcupsimage2,2.2.10-6+deb10u9
libcurl3-gnutls,7.64.0-4+deb10u6
libcurl4,7.64.0-4+deb10u6
libdata-optlist-perl,0.110-1
libdatrie1,0.2.12-2
libdb5.3,5.3.28+dfsg1-0.5
libdbus-1-3,1.12.24-0+deb10u1
libdebconfclient0,0.249
libdevel-callchecker-perl,0.008-1
libdigest-perl-md5-perl,1.9-1
libdrm-amdgpu1,2.4.97-1
libdrm-common,2.4.97-1
libdrm-etnaviv1,2.4.97-1
libdrm-nouveau2,2.4.97-1
libdrm-radeon1,2.4.97-1
libdrm2,2.4.97-1
libdynaloader-functions-perl,0.003-1
libedit2,3.1-20181209-1
libelf1,0.176-1.1+deb10u1
liberror-perl,0.17027-2
libexpat1,2.2.6-2+deb10u6
libext2fs2,1.44.5-1+deb10u3
libfdisk1,2.33.1-0.1
libffi6,3.2.1-9
libfile-homedir-perl,1.004-1
libfile-which-perl,1.23-1
libfontconfig1,2.13.1-2
libfreetype6,2.9.1-3+deb10u3
libfribidi0,1.0.5-3.1+deb10u2
libgcc1,1:8.3.0-6
libgcrypt20,1.8.4-5+deb10u1
libgd3,2.2.5-5.2
libgdbm-compat4,1.18.1-4
libgdbm6,1.18.1-4
libgetopt-long-descriptive-perl,0.103-2
libgif7,5.1.4-3+deb10u1
libgl1,1.1.0-1
libgl1-mesa-dri,18.3.6-2+deb10u1
libglapi-mesa,18.3.6-2+deb10u1
libglib2.0-0,2.58.3-2+deb10u5
libglvnd0,1.1.0-1
libglx-mesa0,18.3.6-2+deb10u1
libglx0,1.1.0-1
libgmp10,2:6.1.2+dfsg-4+deb10u1
libgnutls30,3.6.7-4+deb10u10
libgpg-error0,1.35-1
libgraphite2-3,1.3.13-7
libgs9,9.27~dfsg-2+deb10u9
libgs9-common,9.27~dfsg-2+deb10u9
libgssapi-krb5-2,1.17-3+deb10u5
libharfbuzz0b,2.3.1-1
libhogweed4,3.4.1-1+deb10u1
libice6,2:1.0.9-2
libidn11,1.33-2.2
libidn2-0,2.0.5-1+deb10u1
libijs-0.35,0.35-14
libio-stringy-perl,2.111-3
libjbig0,2.1-3.1+b2
libjbig2dec0,0.16-1+deb10u1
libjpeg62-turbo,1:1.5.2-2+deb10u1
libk5crypto3,1.17-3+deb10u5
libkeyutils1,1.6-6
libkrb5-3,1.17-3+deb10u5
libkrb5support0,1.17-3+deb10u5
liblcms2-2,2.9-3
libldap-2.4-2,2.4.47+dfsg-3+deb10u7
libldap-common,2.4.47+dfsg-3+deb10u7
libllvm7,1:7.0.1-8+deb10u2
liblua5.3-0,5.3.3-1.1+deb10u1
liblz4-1,1.8.3-1+deb10u1
liblzma5,5.2.4-1+deb10u1
libmime-charset-perl,1.012.2-1
libmodule-implementation-perl,0.09-1
libmodule-runtime-perl,0.016-1
libmount1,2.33.1-0.1
libmpdec2,2.4.2-2
libncurses5,6.1+20181013-2+deb10u4
libncurses6,6.1+20181013-2+deb10u4
libncursesw6,6.1+20181013-2+deb10u4
libnettle6,3.4.1-1+deb10u1
libnghttp2-14,1.36.0-2+deb10u1
libnspr4,2:4.20-1
libnss3,2:3.42.1-1+deb10u6
libopenjp2-7,2.3.0-2+deb10u2
libp11-kit0,0.23.15-2+deb10u1
libpam-modules,1.3.1-5
libpam-modules-bin,1.3.1-5
