Package,Version
adduser,3.118ubuntu2
aglfn,1.7+git20191031.4036a9c-2
apt,2.0.9
base-files,11ubuntu5.7
base-passwd,3.5.47
bash,5.0-6ubuntu1.2
bsdutils,1:2.34-0.1ubuntu9.4
bzip2,1.0.8-2
ca-certificates,20230311ubuntu0.20.04.1
ca-certificates-java,20190405ubuntu1.1
coreutils,8.30-3ubuntu2
curl,7.68.0-1ubuntu2.19
dash,0.5.10.2-6
debconf,1.5.73
debianutils,4.9.1
default-jre,2:1.11-72
default-jre-headless,2:1.11-72
diffutils,1:3.7-3
dpkg,1.19.7ubuntu3.2
e2fsprogs,1.45.5-2ubuntu1.1
fdisk,2.34-0.1ubuntu9.4
findutils,4.7.0-1ubuntu1
fontconfig,2.13.1-2ubuntu3
fontconfig-config,2.13.1-2ubuntu3
fonts-dejavu-core,2.37-1
fonts-urw-base35,20170801.1-3
gcc-10-base,10.5.0-1ubuntu1~20.04
ghostscript,9.50~dfsg-5ubuntu4.10
git,1:2.25.1-1ubuntu3.11
git-man,1:2.25.1-1ubuntu3.11
gnuplot-data,5.2.8+dfsg1-2
gnuplot-nox,5.2.8+dfsg1-2
gpgv,2.2.19-3ubuntu2.2
grep,3.4-1
gzip,1.10-0ubuntu4.1
hostname,3.23
init-system-helpers,1.57
java-common,0.72
libacl1,2.2.53-6
libapt-pkg6.0,2.0.9
libasn1-8-heimdal,7.7.0+dfsg-1ubuntu1.4
libasound2,1.2.2-2.1ubuntu2.5
libasound2-data,1.2.2-2.1ubuntu2.5
libattr1,1:2.4.48-5
libaudit-common,1:2.8.5-2ubuntu6
libaudit1,1:2.8.5-2ubuntu6
libavahi-client3,0.7-4ubuntu7.2
libavahi-common-data,0.7-4ubuntu7.2
libavahi-common3,0.7-4ubuntu7.2
libb-hooks-op-check-perl,0.22-1build2
libblkid1,2.34-0.1ubuntu9.4
libbrotli1,1.0.7-6ubuntu0.1
libbsd0,0.10.0-1
libbz2-1.0,1.0.8-2
libc-bin,2.31-0ubuntu9.9
libc6,2.31-0ubuntu9.9
libcairo2,1.16.0-4ubuntu1
libcap-ng0,0.7.9-2.1build1
libcom-err2,1.45.5-2ubuntu1.1
libcrypt1,1:4.4.10-10ubuntu4
libcups2,2.3.1-9ubuntu1.6
libcurl3-gnutls,7.68.0-1ubuntu2.19
libcurl4,7.68.0-1ubuntu2.19
libdata-optlist-perl,0.110-1
libdatrie1,0.2.12-3
libdb5.3,5.3.28+dfsg1-0.6ubuntu2
libdbus-1-3,1.12.16-2ubuntu2.3
libdebconfclient0,0.251ubuntu1
libdevel-callchecker-perl,0.008-1ubuntu1
libdigest-perl-md5-perl,1.9-1
libdrm-amdgpu1,2.4.107-8ubuntu1~20.04.2
libdrm-common,2.4.107-8ubuntu1~20.04.2
libdrm-intel1,2.4.107-8ubuntu1~20.04.2
libdrm-nouveau2,2.4.107-8ubuntu1~20.04.2
libdrm-radeon1,2.4.107-8ubuntu1~20.04.2
libdrm2,2.4.107-8ubuntu1~20.04.2
libdynaloader-functions-perl,0.003-1
libedit2,3.1-20191231-1
