Package,Version
adwaita-icon-theme,45.0-1
aglfn,1.7+git20191031.4036a9c-2
apt,2.7.3
at-spi2-common,2.50.0-1
base-files,13
base-passwd,3.6.1
bash,5.2.15-2+b4
bsdutils,1:2.39.2-1
ca-certificates,20230311
ca-certificates-java,20230710
coreutils,9.1-1
curl,8.2.1-2
dash,0.5.12-6
debconf,1.5.82
debian-archive-keyring,2023.4
debianutils,5.12
default-jre,2:1.17-74
default-jre-headless,2:1.17-74
diffutils,1:3.8-4
dpkg,1.22.0
e2fsprogs,1.47.0-2+b1
findutils,4.9.0-5
fontconfig,2.14.2-6
fontconfig-config,2.14.2-6
fonts-dejavu-core,2.37-8
fonts-dejavu-mono,2.37-8
fonts-urw-base35,20200910-7
gcc-13-base,13.2.0-3
ghostscript,10.02.0~dfsg-2
git,1:2.40.1-1
git-man,1:2.40.1-1
gnuplot-data,5.4.4+dfsg1-2
gnuplot-nox,5.4.4+dfsg1-2+b2
gpgv,2.2.40-1.1
grep,3.11-3
gtk-update-icon-cache,3.24.38-5
gzip,1.12-1
hicolor-icon-theme,0.17-2
hostname,3.23+nmu1
init-system-helpers,1.65.2
java-common,0.74
libabsl20220623,20220623.1-3
libacl1,2.3.1-3
libaom3,3.7.0~really3.6.1-1
libapt-pkg6.0,2.7.3
libasound2,1.2.9-2
libasound2-data,1.2.9-2
libatk1.0-0,2.50.0-1
libattr1,1:2.5.1-4
libaudit-common,1:3.1.1-1
libaudit1,1:3.1.1-1
libavahi-client3,0.8-11
libavahi-common-data,0.8-11
libavahi-common3,0.8-11
libavif15,0.11.1-3+b1
libb-hooks-op-check-perl,0.22-2+b1
libblkid1,2.39.2-1
libbrotli1,1.0.9-2+b6
libbsd0,0.11.7-4
libbz2-1.0,1.0.8-5+b1
libc-bin,2.37-8
libc6,2.37-8
libcairo2,1.18.0-1
libcap-ng0,0.8.3-1+b3
libcap2,1:2.66-4
libcom-err2,1.47.0-2+b1
libcrypt1,1:4.4.36-2
libcups2,2.4.2-6
libcurl3-gnutls,8.2.1-2
libcurl4,8.2.1-2
libdata-optlist-perl,0.114-1
libdatrie1,0.2.13-2+b1
libdav1d6,1.2.1-2
libdb5.3,5.3.28+dfsg2-2
libdbus-1-3,1.14.10-1
libde265-0,1.0.12-2
libdebconfclient0,0.270
libdeflate0,1.18-1
libdevel-callchecker-perl,0.008-2
libdigest-perl-md5-perl,1.9-5
libdrm-amdgpu1,2.4.115-1
libdrm-common,2.4.115-1
libdrm-intel1,2.4.115-1
libdrm-nouveau2,2.4.115-1
libdrm-radeon1,2.4.115-1
libdrm2,2.4.115-1
libdynaloader-functions-perl,0.003-3
