Package,Version
adduser,3.113+nmu3ubuntu4
aglfn,1.7-3
apt,1.2.35
base-files,9.4ubuntu4.13
base-passwd,3.5.39
bash,4.3-14ubuntu1.4
bsdutils,1:2.27.1-6ubuntu3.10
ca-certificates,20210119~16.04.1
ca-certificates-java,20160321ubuntu1
coreutils,8.25-2ubuntu3~16.04
curl,7.47.0-1ubuntu2.19
dash,0.5.8-2.1ubuntu2
debconf,1.5.58ubuntu2
debianutils,4.7
default-jre,2:1.8-56ubuntu2
default-jre-headless,2:1.8-56ubuntu2
dh-python,2.20151103ubuntu1.2
diffutils,1:3.3-3
dpkg,1.18.4ubuntu1.7
e2fslibs,1.42.13-1ubuntu1.2
e2fsprogs,1.42.13-1ubuntu1.2
findutils,4.6.0+git+20160126-2
fontconfig,2.11.94-0ubuntu1.1
fontconfig-config,2.11.94-0ubuntu1.1
fonts-dejavu-core,2.35-1
gcc-5-base,5.4.0-6ubuntu1~16.04.12
gcc-6-base,6.0.1-0ubuntu1
ghostscript,9.26~dfsg+0-0ubuntu0.16.04.14
git,1:2.7.4-0ubuntu1.10
git-man,1:2.7.4-0ubuntu1.10
gnupg,1.4.20-1ubuntu3.3
gnuplot-data,4.6.6-3ubuntu0.1
gnuplot-nox,4.6.6-3ubuntu0.1
gnuplot-tex,4.6.6-3ubuntu0.1
gpgv,1.4.20-1ubuntu3.3
grep,2.25-1~16.04.1
gsfonts,1:8.11+urwcyr1.0.7~pre44-4.2ubuntu1
gzip,1.6-4ubuntu1
hostname,3.16ubuntu2
init,1.29ubuntu4
init-system-helpers,1.29ubuntu4
initscripts,2.88dsf-59.3ubuntu2
insserv,1.14.0-5ubuntu3
java-common,0.56ubuntu2
libacl1,2.2.52-3
libapparmor1,2.10.95-0ubuntu2.11
libapt-pkg5.0,1.2.35
libasn1-8-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libasound2,1.1.0-0ubuntu1
libasound2-data,1.1.0-0ubuntu1
libasyncns0,0.8-5build1
libatk1.0-0,2.18.0-1
libatk1.0-data,2.18.0-1
libattr1,1:2.4.47-2
libaudit-common,1:2.4.5-1ubuntu2.1
libaudit1,1:2.4.5-1ubuntu2.1
libavahi-client3,0.6.32~rc+dfsg-1ubuntu2.3
libavahi-common-data,0.6.32~rc+dfsg-1ubuntu2.3
libavahi-common3,0.6.32~rc+dfsg-1ubuntu2.3
libblkid1,2.27.1-6ubuntu3.10
libbsd0,0.8.2-1ubuntu0.1
libbz2-1.0,1.0.6-8ubuntu0.2
libc-bin,2.23-0ubuntu11.3
libc6,2.23-0ubuntu11.3
libcairo2,1.14.6-1
libcap2,1:2.24-12
libcap2-bin,1:2.24-12
libcomerr2,1.42.13-1ubuntu1.2
libcryptsetup4,2:1.6.6-5ubuntu2.1
libcups2,2.1.3-4ubuntu0.11
libcupsfilters1,1.8.3-2ubuntu3.5
libcupsimage2,2.1.3-4ubuntu0.11
libcurl3-gnutls,7.47.0-1ubuntu2.19
libdata-optlist-perl,0.109-1
libdatrie1,0.2.10-2
libdb5.3,5.3.28-11ubuntu0.2
libdbus-1-3,1.10.6-1ubuntu3.6
libdebconfclient0,0.198ubuntu1
libdevmapper1.02.1,2:1.02.110-1ubuntu10
libdigest-perl-md5-perl,1.9-1
libdrm-amdgpu1,2.4.91-2~16.04.1
libdrm-common,2.4.91-2~16.04.1
libdrm-intel1,2.4.91-2~16.04.1
libdrm-nouveau2,2.4.91-2~16.04.1
libdrm-radeon1,2.4.91-2~16.04.1
libdrm2,2.4.91-2~16.04.1
libedit2,3.1-20150325-1ubuntu2
libelf1,0.165-3ubuntu1.2
liberror-perl,0.17-1.2
libexpat1,2.1.0-7ubuntu0.16.04.5
libfdisk1,2.27.1-6ubuntu3.10
libffi6,3.2.1-4
libfile-homedir-perl,1.00-1
libfile-which-perl,1.19-1
libflac8,1.3.1-4
libfontconfig1,2.11.94-0ubuntu1.1
libfreetype6,2.6.1-0.1ubuntu2.5
libgcc1,1:6.0.1-0ubuntu1
libgcrypt20,1.6.5-2ubuntu0.6
libgd3,2.1.1-4ubuntu0.16.04.12
libgdbm3,1.8.3-13.1
libgdk-pixbuf2.0-0,2.32.2-1ubuntu1.6
libgdk-pixbuf2.0-common,2.32.2-1ubuntu1.6
libgetopt-long-descriptive-perl,0.099-1
libgif7,5.1.4-0.3~16.04.1
libgl1-mesa-dri,18.0.5-0ubuntu0~16.04.1
libgl1-mesa-glx,18.0.5-0ubuntu0~16.04.1
libglapi-mesa,18.0.5-0ubuntu0~16.04.1
libglib2.0-0,2.48.2-0ubuntu4.8
libgmp10,2:6.1.0+dfsg-2
libgnutls30,3.4.10-4ubuntu1.9
libgpg-error0,1.21-2ubuntu1
libgraphite2-3,1.3.10-0ubuntu0.16.04.1
libgs9,9.26~dfsg+0-0ubuntu0.16.04.14
libgs9-common,9.26~dfsg+0-0ubuntu0.16.04.14
libgssapi-krb5-2,1.13.2+dfsg-5ubuntu2.2
libgssapi3-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libgtk2.0-0,2.24.30-1ubuntu1.16.04.2
libgtk2.0-common,2.24.30-1ubuntu1.16.04.2
libharfbuzz0b,1.0.1-1ubuntu0.1
libhcrypto4-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libheimbase1-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libheimntlm0-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libhogweed4,3.2-1ubuntu0.16.04.2
libhx509-5-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libice6,2:1.0.9-1
libicu55,55.1-7ubuntu0.5
libidn11,1.32-3ubuntu1.2
libijs-0.35,0.35-12
libio-stringy-perl,2.110-5
libjbig0,2.1-3.1
libjbig2dec0,0.12+20150918-1ubuntu0.1
libjpeg-turbo8,1.4.2-0ubuntu3.4
libjpeg8,8c-2ubuntu8
libk5crypto3,1.13.2+dfsg-5ubuntu2.2
libkeyutils1,1.5.9-8ubuntu1
libkmod2,22-1ubuntu5.2
libkrb5-26-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libkrb5-3,1.13.2+dfsg-5ubuntu2.2
libkrb5support0,1.13.2+dfsg-5ubuntu2.2
liblcms2-2,2.6-3ubuntu2.1
libldap-2.4-2,2.4.42+dfsg-2ubuntu3.13
libllvm6.0,1:6.0-1ubuntu2~16.04.1
liblua5.1-0,5.1.5-8ubuntu1
liblz4-1,0.0~r131-2ubuntu2
liblzma5,5.1.1alpha+20120614-2ubuntu2
libmime-charset-perl,1.012-1
libmodule-implementation-perl,0.09-1
libmodule-runtime-perl,0.014-2
libmount1,2.27.1-6ubuntu3.10
libmpdec2,2.4.2-1
libncurses5,6.0+20160213-1ubuntu1
libncursesw5,6.0+20160213-1ubuntu1
libnettle6,3.2-1ubuntu0.16.04.2
libnspr4,2:4.13.1-0ubuntu0.16.04.1
libnss3,2:3.28.4-0ubuntu0.16.04.14
libnss3-nssdb,2:3.28.4-0ubuntu0.16.04.14
libogg0,1.3.2-1
libp11-kit0,0.23.2-5~ubuntu16.04.2
libpam-modules,1.1.8-3.2ubuntu2.3
libpam-modules-bin,1.1.8-3.2ubuntu2.3
libpam-runtime,1.1.8-3.2ubuntu2.3
libpam0g,1.1.8-3.2ubuntu2.3
libpango-1.0-0,1.38.1-1
libpangocairo-1.0-0,1.38.1-1
libpangoft2-1.0-0,1.38.1-1
libpaper1,1.1.24+nmu4ubuntu1
libparams-classify-perl,0.013-5build1
libparams-util-perl,1.07-2build2
libparams-validate-perl,1.22-1
libpciaccess0,0.13.4-1
libpcre3,2:8.38-3.1
libpcsclite1,1.8.14-1ubuntu1.16.04.1
libperl5.22,5.22.1-9ubuntu0.9
libpixman-1-0,0.33.6-1
libpng12-0,1.2.54-1ubuntu1.1
libprocps4,2:3.3.10-4ubuntu2.5
libpulse0,1:8.0-0ubuntu3.15
libpython3-stdlib,3.5.1-3
libpython3.5-minimal,3.5.2-2ubuntu0~16.04.13
libpython3.5-stdlib,3.5.2-2ubuntu0~16.04.13
libreadline6,6.3-8ubuntu2
libroken18-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
librtmp1,2.4+20151223.gitfa8646d-1ubuntu0.1
libsasl2-2,2.1.26.dfsg1-14ubuntu0.2
libsasl2-modules-db,2.1.26.dfsg1-14ubuntu0.2
libseccomp2,2.5.1-1ubuntu1~16.04.1
libselinux1,2.4-3build2
libsemanage-common,2.3-1build3
libsemanage1,2.3-1build3
libsensors4,1:3.4.0-2
libsepol1,2.4-2
libsm6,2:1.2.2-1
libsmartcols1,2.27.1-6ubuntu3.10
libsndfile1,1.0.25-10ubuntu0.16.04.3
libsombok3,2.4.0-1
libsqlite3-0,3.11.0-1ubuntu1.5
libss2,1.42.13-1ubuntu1.2
libssl1.0.0,1.0.2g-1ubuntu4.20
libstdc++6,5.4.0-6ubuntu1~16.04.12
libsub-exporter-perl,0.986-1
libsub-install-perl,0.928-1
libsystemd0,229-4ubuntu21.31
libtasn1-6,4.7-3ubuntu0.16.04.3
libthai-data,0.1.24-2
libthai0,0.1.24-2
libtiff5,4.0.6-1ubuntu0.8
libtinfo5,6.0+20160213-1ubuntu1
libtry-tiny-perl,0.24-1
libudev1,229-4ubuntu21.31
libunicode-linebreak-perl,0.0.20151201-1build1
libusb-0.1-4,2:0.1.12-28
libustr-1.0-1,1.0.4-5
libuuid1,2.27.1-6ubuntu3.10
libvorbis0a,1.3.5-3ubuntu0.2
libvorbisenc2,1.3.5-3ubuntu0.2
libvpx3,1.5.0-2ubuntu1.1
libwind0-heimdal,1.7~git20150920+dfsg-4ubuntu1.16.04.1
libwrap0,7.6.q-25
libx11-6,2:1.6.3-1ubuntu2.2
libx11-data,2:1.6.3-1ubuntu2.2
libx11-xcb1,2:1.6.3-1ubuntu2.2
libxau6,1:1.0.8-1
libxcb-dri2-0,1.11.1-1ubuntu1
libxcb-dri3-0,1.11.1-1ubuntu1
libxcb-glx0,1.11.1-1ubuntu1
libxcb-present0,1.11.1-1ubuntu1
libxcb-render0,1.11.1-1ubuntu1
libxcb-shm0,1.11.1-1ubuntu1
libxcb-sync1,1.11.1-1ubuntu1
libxcb1,1.11.1-1ubuntu1
libxcomposite1,1:0.4.4-1
libxcursor1,1:1.1.14-1ubuntu0.16.04.2
libxdamage1,1:1.1.4-2
libxdmcp6,1:1.1.2-1.1
libxext6,2:1.3.3-1
libxfixes3,1:5.0.1-2
libxi6,2:1.7.6-1
libxinerama1,2:1.1.3-1
libxml2,2.9.3+dfsg1-1ubuntu0.7
libxpm4,1:3.5.11-1ubuntu0.16.04.1
libxrandr2,2:1.5.0-1
libxrender1,1:0.9.9-0ubuntu1
libxshmfence1,1.2-1
libxtst6,2:1.2.2-1
libxxf86vm1,1:1.1.4-1
libyaml-tiny-perl,1.69-1
libzstd1,1.3.1+dfsg-1~ubuntu0.16.04.1
login,1:4.2-3.1ubuntu5.4
lsb-base,9.20160110ubuntu0.2
make,4.1-6
makedev,2.3.1-93ubuntu2~ubuntu16.04.1
mawk,1.3.3-17ubuntu2
mime-support,3.59ubuntu1
mount,2.27.1-6ubuntu3.10
multiarch-support,2.23-0ubuntu11.3
ncurses-base,6.0+20160213-1ubuntu1
ncurses-bin,6.0+20160213-1ubuntu1
openjdk-8-jre,8u292-b10-0ubuntu1~16.04.1
openjdk-8-jre-headless,8u292-b10-0ubuntu1~16.04.1
openssl,1.0.2g-1ubuntu4.20
passwd,1:4.2-3.1ubuntu5.4
perl,5.22.1-9ubuntu0.9
perl-base,5.22.1-9ubuntu0.9
perl-modules-5.22,5.22.1-9ubuntu0.9
poppler-data,0.4.7-7
procps,2:3.3.10-4ubuntu2.5
python3,3.5.1-3
python3-minimal,3.5.1-3
python3-pkg-resources,20.7.0-1
python3-pygments,2.1+dfsg-1ubuntu0.2
python3.5,3.5.2-2ubuntu0~16.04.13
python3.5-minimal,3.5.2-2ubuntu0~16.04.13
readline-common,6.3-8ubuntu2
sed,4.2.2-7
sensible-utils,0.0.9ubuntu0.16.04.1
shared-mime-info,1.5-2ubuntu0.2
systemd,229-4ubuntu21.31
systemd-sysv,229-4ubuntu21.31
sysv-rc,2.88dsf-59.3ubuntu2
sysvinit-utils,2.88dsf-59.3ubuntu2
tar,1.28-2.1ubuntu0.2
ubuntu-keyring,2012.05.19.1
ucf,3.0036
unzip,6.0-20ubuntu1.1
util-linux,2.27.1-6ubuntu3.10
wget,1.17.1-1ubuntu1.5
x11-common,1:7.7+13ubuntu3.1
zlib1g,1:1.2.8.dfsg-2ubuntu4.3
