Package,Version
12many,0.3
2up,1.2
Asana-Math,000.955
ESIEEcv,
FAQ-en,3.28
GS1,22
HA-prosper,4.21
IEEEconf,1.4
IEEEtran,1.8b
MemoirChapStyles,1.7e
SIstyle,2.3a
SIunits,1.36
Tabbing,
Type1fonts,2.14
a0poster,1.22b
a2ping,2.83p
a2ping.x86_64-linux,
a4wide,
a5comb,4
aastex,6.2
abbr,
abc,2.0b
abnt,
abntex2,1.9.7
abraces,1.-
abstract,1.2a
abstyles,
academicons,1.8.6-2
accanthis,
accfonts,0.25
accfonts.x86_64-linux,
achemso,3.12a
acmart,1.57
acmconf,1.3
acro,2.9
acronym,1.41
acroterm,0.1
active-conf,0.3a
actuarialangle,2.0
actuarialsymbol,1.0a
addfont,1
addlines,0.3
adfathesis,2.42
adforn,1.001-b-2
adfsymbols,1.001
adhocfilelist,
adhocfilelist.x86_64-linux,
adigraph,1.7.1
adjmulticol,1.1
adjustbox,1.2
adobemapping,
adrconv,1.4
adtrees,1.0
advdate,
ae,1.4
aecc,1.0
aeguill,
afm2pl,
afm2pl.x86_64-linux,
afparticle,1.3
afthesis,2.7
aguplus,1.6b
aiaa,3.6
aichej,
ajl,
akktex,0.3.2
akletter,1.5i
alegreya,
aleph,
aleph.x86_64-linux,
alertmessage,1.1
alg,
algobox,1.2a
algolrevived,1.01
algorithm2e,5.2
algorithmicx,
algorithms,0.1
aligned-overset,0.1.0
alkalami,1.000
allrunes,2.1.1
almfixed,0.92
alnumsec,0.03
alpha-persian,1.1
alterqcm,3.7c
altfont,1.1
ametsoc,4.3.2
amiri,0.110
amsaddr,1.1
amscls,2.20.4
amscls-doc,
amsfonts,3.04
amslatex-primer,2.3
amsldoc-it,
amsldoc-vn,2.0
amsmath,
amsmath-it,
amsrefs,2.14
amstex,
amstex.x86_64-linux,
amsthdoc-it,
animate,
anonchap,1.1a
anonymouspro,2.1
answers,2.16
antiqua,001.003
antomega,0.8
antt,2.08
anufinalexam,
anyfontsize,
anysize,
aobs-tikz,1.0
aomart,1.21
apa,1.3.4
apa6,2.33
apa6e,0.3
apacite,6.03
apalike-german,
apalike2,
apnum,1.7
appendix,1.2b
appendixnumberbeamer,1.2
apprends-latex,4.02
apptools,1.0
apxproof,1.1.1
arabi,1.1
arabi-add,1.0
arabluatex,1.15.1
arabtex,3.17
arabxetex,1.2.1
aramaic-serto,1.0
arara,4.0.5
arara.x86_64-linux,
archaeologie,2.4.0
archaic,
arcs,1
arev,
arimo,
armtex,3.0-beta3
around-the-bend,
arphic,
arphic-ttf,
arrayjobx,1.04
arraysort,1.0
arsclassica,
articleingud,0.3
arydshln,1.76
asaetr,1.0a
asapsym,1.0
ascelike,2.3
ascii-chart,
ascii-font,2.0
asciilist,2.2b
ascmac,2.0h
askmaps,0.1
aspectratio,2.0
assignment,
assoccnt,0.8
astro,2.20
asyfig,0.1c
asymptote,2.44
asymptote-by-example-zh-cn,
asymptote-faq-zh-cn,
asymptote-manual-zh-cn,
asymptote.x86_64-linux,
asypictureb,0.3
attachfile,1.9
aucklandthesis,
augie,
auncial-new,2.0
aurical,1.5
aurl,
